0        The system shall be easy to use by the Program Administrators/Nursing Staff Members.


	AS the Program Administrators/Nursing Staff Members I WANT TO use the system
	30        The system shall protect private information in accordance with the organization 92s information policy.
Program of Study offered by the department.
	

	31        The system shall be built such that it is as secure as possible from malicious interference.
	

	32        The system shall use the organization 92s standard virus protection software to help monitor threats to itself.
	

	33        A cohort shall be associated to one Program of Study offered by the department.
	

	34        Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.
	AS Program Administrators and Nursing Staff Members I WANT TO BE able to add a listing of students to a cohort.


	35        Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort
	AS Program Administrators and Nursing Staff Members I WANT TO be able to add a single student to a cohort


	36        Students added to a cohort shall be eligible for the cohort 92s Program of Study.
	AS Students I WANT TO be eligible for the cohort 92s Program of Study.
	37        Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.
	AS Program Administrators and Nursing Staff Members I HAVE TO be able to specify the preferred sequence of classes for a given cohort.


	38        For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.
	AS Program Administrators and Nursing Staff Members I WANT TO be able to specify which quarter that class will be offered.


	39        Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes
	AS Program Administrators and Nursing Staff Members I WANT TO be able to add new classes to a sequence of classes


	

40        Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes
	AS Program Administrators and Nursing Staff Members I WANT TO be able to add clinical classes or sections to a sequence of classes
	41        Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.
	AS Program Administrators and Nursing Staff Members I WANT TO be able to add a new cohort to the system identified by start month and year.


	42        Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.
	AS Program Administrators and Nursing Staff Members I WANT TO be able to add new classes for the nursing department into the system.


	43        A class shall be either a non-clinical class or a clinical class.
	

	44        A non-clinical class shall specify the course name lecture room requirements and instructor needs.
	

	45        A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.
	

	46        Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.
	AS Program Administrators/Nursing Staff Members I WANT TO create a new Program of Study.


	47        A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.
	

	48        Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study
	AS Program Administrators and Nursing Staff Members I WANT TO have the ability to specify which classes are required for a Program of Study


	49        The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members 92 planning purposes.
	AS Program Administrators/Nursing Staff Members I WANT TO be able to display a report of needed classes for a given quarter for all cohorts.
	50        The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.
	

	51        Classes for a given cohort shall not conflict with regards to the time and day that they are offered.
	

	52        Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.
	AS Program Administrators and Nursing Staff Members I WANT TO BE  able to add a new clinical site into the system.


	53        Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.
	

	54        Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.
	AS Program Administrators and Nursing Staff Members I HAVE TO  be able to add a new clinical lab section for an existing clinical class into the System.


	55        A clinical lab section shall include the clinical site name the class instructor day and time of the lab.
	

	56        Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.
	AS Program Administrators and Nursing Staff Members I HAVE TO be able to add a student who has registered for a clinical class to a clinical lab section for that class.
	57        The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.
	AS Program Administrator or Nursing staff I WANT TO remove a student from a clinical lab section.
	

58        The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.
	AS a Program Administrator/Nursing Staff Member I WANT TO move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.


	59        Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.
	AS Program Administrators/Nursing Staff Members I WANT TO be able to cancel a clinical lab section only if there are no students registered for that clinical lab section
	60        A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.
	AS A Program Administrator/Nursing Staff Member I WANT TO be able to add a new nursing student to the system.


	61        A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.
	AS staff member I WANT TO have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.


	62        The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.
	AS students I WANT the system to be able to display a printable summary for individual cohorts 
	63        The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).
	

	64        The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.
	

	65        The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.
	

	66        The system shall be able to display a printable summary of the system log.
	

	67        The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.
	AS staff members students I WANT the system to  contain contact information (e-mail and phone number) for all people
	68        The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.
	

	69        The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.
	AS students I WANT the system notify upcoming offered classes (timeline) and what their schedule will be/shall be 
	70        The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.
	

	71        The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.
	

	 72        The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort 92s program of study and changes to a given week 92s schedule (lab cancelled this week due to instructor illness).
	

	73        The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student 92s status from full time to part time and moving a student to a different clinical section.
	AS students  I WANT the system notify when changes occur  
	74        Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.
	AS Program Administrators/Nursing Staff Members I WANT TO have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes
	75        Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.
	AS Program Administrators/Nursing Staff I WANT TO have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study
	76        Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.
	AS Program Administrators/Nursing Staff Members I WANT TO have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.


	77        Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.
	AS         Program Administrators/Nursing Staff Members  I WANT TO the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.


	78        Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.
	AS Program Administrators/Nursing Staff Members I WANT TO have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.
